1,1.1976e-11,1.7046e-10,-5.5511e-17,1.1976e-11,1,3.5625e-10,0,1.7046e-10,3.5625e-10,1,2.2204e-16,0,0,0,1
1,-0.00090352,-0.00021012,0.0012891,0.0009038,1,0.0013256,-0.018216,0.00020892,-0.0013258,1,1.3106,0,0,0,1
1,-0.0016463,-0.00055382,0.00044483,0.0016474,1,0.0018597,-0.042033,0.00055076,-0.0018606,1,2.6253,0,0,0,1
0.99999,-0.0034135,-0.00073122,0.0020376,0.0034138,0.99999,0.00053619,-0.063028,0.00072939,-0.00053868,1,3.9417,0,0,0,1
0.99999,-0.0036353,-0.0006434,0.0027779,0.0036359,0.99999,0.00081412,-0.084838,0.00064044,-0.00081645,1,5.261,0,0,0,1
0.99999,-0.0039252,-0.00051622,0.0041579,0.0039261,0.99999,0.0016408,-0.10147,0.00050978,-0.0016428,1,6.5816,0,0,0,1
0.99998,-0.0055041,-0.00041699,0.007571,0.0055052,0.99998,0.0026945,-0.11659,0.00040215,-0.0026967,1,7.9088,0,0,0,1
0.99999,-0.0051846,-0.00059756,0.0083238,0.0051867,0.99998,0.003583,-0.1328,0.00057897,-0.0035861,0.99999,9.239,0,0,0,1
0.99999,-0.0046309,-0.00086047,0.0077283,0.0046325,0.99999,0.0018671,-0.14976,0.00085181,-0.0018711,1,10.57,0,0,0,1
1,-0.0019008,-0.0009601,0.0067809,0.0019001,1,-0.00078422,-0.16345,0.00096159,0.0007824,1,11.904,0,0,0,1
1,0.0015436,-0.00062187,0.0034194,-0.0015447,1,-0.001725,-0.17675,0.0006192,0.0017259,1,13.242,0,0,0,1
0.99999,0.0039626,-0.00053048,-0.0018622,-0.0039634,0.99999,-0.0015791,-0.19592,0.00052422,0.0015812,1,14.58,0,0,0,1
0.99999,0.0051898,-0.00038694,-0.0058518,-0.0051902,0.99999,-0.00087289,-0.21776,0.00038241,0.00087488,1,15.931,0,0,0,1
1,0.0029931,2.8768e-05,-0.0042677,-0.0029931,0.99999,0.0017691,-0.23641,-2.3472e-05,-0.0017691,1,17.282,0,0,0,1
1,-0.00089939,0.00025249,0.00048279,0.00089837,0.99999,0.0039982,-0.25375,-0.00025608,-0.003998,0.99999,18.635,0,0,0,1
0.99999,-0.0036386,-3.9592e-05,0.0050061,0.0036387,0.99999,0.0018314,-0.26991,3.2928e-05,-0.0018315,1,19.987,0,0,0,1
0.99999,-0.0051193,-0.00023204,0.0041347,0.0051191,0.99999,-0.00055393,-0.29311,0.00023487,0.00055273,1,21.341,0,0,0,1
1,-0.0028488,0.00042626,-0.00076547,0.0028497,0.99999,-0.0020668,-0.32223,-0.00042037,0.002068,1,22.706,0,0,0,1
1,0.00014249,0.0012454,-0.0073693,-0.00014153,1,-0.00076607,-0.34681,-0.0012455,0.0007659,1,24.072,0,0,0,1
1,0.0014406,0.0019421,-0.0097193,-0.0014512,0.99998,0.0054272,-0.36874,-0.0019342,-0.00543,0.99998,25.449,0,0,0,1
1,-0.0010509,0.0023692,-0.0050612,0.0010379,0.99998,0.0054653,-0.38714,-0.0023749,-0.0054628,0.99998,26.82,0,0,0,1
0.99998,-0.005339,0.0019513,0.0019623,0.0053314,0.99998,0.0038879,-0.40994,-0.001972,-0.0038774,0.99999,28.195,0,0,0,1
0.99998,-0.0059332,0.0019849,0.0052816,0.0059306,0.99998,0.0013172,-0.4329,-0.0019927,-0.0013054,1,29.57,0,0,0,1
0.99998,-0.0061773,0.0023967,0.007939,0.0061796,0.99998,-0.00097546,-0.45912,-0.0023906,0.00099025,1,30.95,0,0,0,1
0.99999,-0.0028643,0.0031733,0.0068271,0.0028687,0.99999,-0.0013857,-0.48501,-0.0031693,0.0013948,0.99999,32.335,0,0,0,1
0.99999,-0.0019166,0.0035698,0.0083052,0.0019291,0.99999,-0.0034995,-0.51224,-0.0035631,0.0035064,0.99999,33.718,0,0,0,1
0.99999,-0.0010214,0.0034984,0.010173,0.0010353,0.99999,-0.0039631,-0.54312,-0.0034943,0.0039667,0.99999,35.111,0,0,0,1
0.99999,-0.0009563,0.003409,0.012119,0.00096196,1,-0.0016592,-0.57462,-0.0034074,0.0016625,0.99999,36.508,0,0,0,1
1,-0.00018896,0.0029861,0.015115,0.00018914,1,-6.0454e-05,-0.5999,-0.0029861,6.1019e-05,1,37.906,0,0,0,1
0.99999,0.0025145,0.0029627,0.016969,-0.0025134,1,-0.00037895,-0.62385,-0.0029636,0.0003715,1,39.302,0,0,0,1
0.99998,0.0050516,0.0031014,0.019429,-0.0050498,0.99999,-0.0005613,-0.64371,-0.0031042,0.00054563,0.99999,40.704,0,0,0,1
0.99997,0.0072037,0.003111,0.019163,-0.0072035,0.99997,-5.0336e-05,-0.67072,-0.0031113,2.7925e-05,1,42.111,0,0,0,1
0.99996,0.0083083,0.0028436,0.021344,-0.008309,0.99997,0.00022854,-0.69413,-0.0028416,-0.00025216,1,43.519,0,0,0,1
0.99997,0.0072597,0.0024123,0.026224,-0.0072593,0.99997,-0.00018305,-0.71786,-0.0024135,0.00016554,1,44.928,0,0,0,1
